instance,solver,distance_km,reference_km,gap_pct,runtime_s
C101,ortools,937.214,937.214,0.0,20.004
C101,insertion-ls,984.708,937.214,5.067572614152148,1.446
C101,insertion,1165.434,937.214,24.350895313130184,0.378
C101,savings,1181.182,937.214,26.031194583094145,0.062
C201,ortools,681.626,681.626,0.0,20.002
C201,savings,985.702,681.626,44.61038751456078,0.093
C201,insertion-ls,1056.302,681.626,54.96797363950318,3.582
C201,insertion,1280.921,681.626,87.92138210690321,0.408
R101,ortools,1769.129,1769.129,0.0,20.001
R201,ortools,1341.456,1341.456,0.0,40.003
R201,insertion-ls,1469.498,1341.456,9.545001848737503,2.17
R201,savings,1570.375,1341.456,17.064965231807836,0.081
R201,insertion,1824.729,1341.456,36.02600458009806,0.257
