scenario,instance,solver,seed,time_limit_s,runtime_s,feasible,distance_km,vehicles,customers_served,customers_total,charging_stops,energy_kwh,charged_kwh,charge_time_min,min_soc_kwh,violations,battery_kwh,status,note
battery80-C101,C101,ortools,42,20.0,20.017,True,828.937,10,100,100,0,188.013,0.0,0.0,51.291,0,80.0,success,
battery80-R101,R101,ortools,42,20.0,20.002,True,1704.607,23,100,100,0,379.574,0.0,0.0,52.378,0,80.0,success,
battery80-RC101,RC101,ortools,42,20.0,20.033,True,1713.536,18,100,100,0,384.144,0.0,0.0,43.512,0,80.0,success,
battery40-C101,C101,ortools,42,20.0,20.001,True,828.937,10,100,100,0,188.013,0.0,0.0,11.291,0,40.0,success,
battery40-R101,R101,ortools,42,20.0,20.015,True,1704.607,23,100,100,0,379.574,0.0,0.0,12.378,0,40.0,success,
battery40-RC101,RC101,ortools,42,20.0,20.001,True,1740.216,19,100,100,0,389.7,0.0,0.0,11.567,0,40.0,success,
battery25-C101,C101,ortools,42,20.0,20.006,True,937.214,11,100,100,4,212.035,15.82,27.37,3.353,0,25.0,success,
battery25-R101,R101,ortools,42,20.0,20.0,True,1769.129,22,100,100,5,393.947,18.488,32.19,3.866,0,25.0,success,
battery25-RC101,RC101,ortools,42,20.0,60.005,False,1878.78,20,99,100,8,420.118,49.975,83.13,3.454,0,25.0,success,
battery18-C101,C101,ortools,42,20.0,60.033,False,969.959,13,93,100,9,218.819,42.983,84.5,2.468,0,18.0,success,
battery18-R101,R101,ortools,42,20.0,60.041,False,1780.217,25,96,100,9,395.622,55.875,87.0,2.817,0,18.0,success,
battery18-RC101,RC101,ortools,42,20.0,60.003,False,1704.326,19,87,100,12,380.293,102.94,164.81,2.517,0,18.0,success,
battery14-C101,C101,ortools,42,20.0,60.033,False,903.567,12,85,100,12,203.433,67.186,121.16,1.695,0,14.0,success,
battery14-R101,R101,ortools,42,20.0,60.071,False,1376.973,19,80,100,14,306.295,93.565,164.56,2.056,0,14.0,success,
battery14-RC101,RC101,ortools,42,20.0,60.015,False,1061.662,15,59,100,9,236.35,71.737,125.64,2.261,0,14.0,success,
