instance,solver,distance_km,reference_km,gap_pct,runtime_s
C101,ortools,828.937,828.937,0.0,20.029
C101,insertion-ls,904.865,828.937,9.159682822699432,1.601
C101,savings,1018.363,828.937,22.851676303506785,0.05
C101,insertion,1022.534,828.937,23.354850851150324,0.329
C201,ortools,607.936,607.936,0.0,20.011
C201,insertion-ls,712.095,607.936,17.133217970312664,5.845
C201,insertion,755.682,607.936,24.302887146015365,1.068
C201,savings,856.563,607.936,40.89690362143383,0.055
R101,ortools,1701.509,1701.509,0.0,20.015
R101,insertion-ls,1751.348,1701.509,2.9291058701423234,1.081
R101,insertion,2159.571,1701.509,26.920927247519696,0.264
R201,ortools,1206.382,1206.382,0.0,20.002
R201,insertion-ls,1301.032,1206.382,7.8457735609450285,8.0
R201,savings,1542.175,1206.382,27.83471570364941,0.061
R201,insertion,1569.85,1206.382,30.128765183830648,0.595
RC101,ortools,1744.549,1744.549,0.0,20.001
RC101,insertion-ls,1792.537,1744.549,2.750739589429707,2.11
RC101,savings,2098.173,1744.549,20.27022456806887,0.062
RC101,insertion,2299.243,1744.549,31.795839497772775,0.396
RC201,ortools,1299.854,1299.854,0.0,20.001
RC201,insertion-ls,1413.682,1299.854,8.756983476605832,4.157
RC201,savings,1757.664,1299.854,35.22010933535612,0.059
RC201,insertion,1841.324,1299.854,41.65621677511474,0.484
